City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Afsin,TR,38.25,36.91,82.15,23,55,14.29,broken clouds
1,Thompson,CA,55.74,-97.86,46.56,93,100,11.50,mist
2,Esperance,AU,-33.87,121.90,55.78,83,52,12.44,broken clouds
3,Tuchola,PL,53.59,17.86,57.00,52,100,8.75,overcast clouds
4,Tuatapere,NZ,-46.13,167.68,48.79,93,100,2.71,overcast clouds
5,Beloha,MG,-25.17,45.05,85.50,31,0,15.21,clear sky
6,Rikitea,PF,-23.12,-134.97,72.91,72,0,11.34,clear sky
7,Khani,GE,41.96,42.96,71.17,62,0,4.25,clear sky
8,Churapcha,RU,62.00,132.43,26.44,77,0,8.37,clear sky
9,Richards Bay,ZA,-28.78,32.04,63.05,85,100,15.30,light rain
10,Mataura,NZ,-46.19,168.86,46.47,100,100,1.45,overcast clouds
11,Upernavik,GL,72.79,-56.15,32.58,94,97,1.95,overcast clouds
12,Ribeira Grande,PT,38.52,-28.70,79.20,78,20,10.36,few clouds
13,Kaeo,NZ,-35.10,173.78,55.33,96,100,6.80,overcast clouds
14,Korla,CN,41.76,86.15,77.34,24,0,5.30,clear sky
15,Aberdeen,GB,57.14,-2.10,67.66,80,100,6.91,overcast clouds
16,Hobart,AU,-42.88,147.33,55.26,76,0,9.22,clear sky
17,Kapaa,US,22.08,-159.32,77.32,77,40,17.27,scattered clouds
18,Yellowknife,CA,62.46,-114.35,37.56,100,3,3.00,clear sky
19,Norman Wells,CA,65.28,-126.83,41.04,75,75,5.75,broken clouds
20,Narsaq,GL,60.92,-46.05,41.22,62,94,2.04,overcast clouds
21,Bambous Virieux,MU,-20.34,57.76,70.21,83,75,3.44,light rain
22,Meulaboh,ID,4.14,96.13,78.69,83,96,5.48,overcast clouds
23,Mazyr,BY,52.05,29.25,57.33,58,100,1.99,overcast clouds
24,Punta Arenas,CL,-53.15,-70.92,44.62,70,75,9.22,broken clouds
25,Cherskiy,RU,68.75,161.30,37.60,46,100,11.45,overcast clouds
26,Hilo,US,19.73,-155.09,72.25,84,0,5.01,clear sky
27,Swan River,CA,52.11,-101.27,53.49,87,100,12.66,overcast clouds
28,Westport,US,41.14,-73.36,75.24,78,0,5.75,clear sky
29,Saint-Louis,SN,16.33,-15.00,97.77,34,92,7.25,overcast clouds
30,Albany,US,42.60,-73.97,66.67,92,100,1.01,overcast clouds
31,Codrington,AU,-38.27,141.97,55.20,68,100,5.53,light rain
32,Kamenka,RU,51.32,42.77,64.85,41,3,1.90,clear sky
33,Port Alfred,ZA,-33.59,26.89,67.17,70,74,4.00,broken clouds
34,Vila Franca Do Campo,PT,37.72,-25.43,75.61,61,17,1.30,few clouds
35,Kavaratti,IN,10.57,72.64,81.34,77,94,15.14,overcast clouds
36,Busselton,AU,-33.65,115.33,56.80,77,2,12.73,clear sky
37,Saldanha,ZA,-33.01,17.94,69.85,67,0,11.01,clear sky
38,Vangaindrano,MG,-23.35,47.60,72.88,73,21,9.55,few clouds
39,Tigil,RU,57.80,158.67,51.12,86,97,20.51,light rain
40,Udachnyy,RU,66.42,112.40,28.31,91,100,18.07,light snow
41,Kavieng,PG,-2.57,150.80,80.87,81,98,11.59,light rain
42,Shimoda,JP,34.67,138.95,67.10,88,100,16.58,overcast clouds
43,Falmouth,GB,50.15,-5.07,67.66,74,40,6.91,scattered clouds
44,Calabozo,VE,8.92,-67.43,84.63,68,8,5.53,clear sky
45,Calvinia,ZA,-31.47,19.78,64.90,17,0,5.66,clear sky
46,Labuhan,ID,-6.88,112.21,81.61,69,100,3.24,overcast clouds
47,Vaitape,PF,-16.52,-151.75,77.85,74,9,14.47,light rain
48,Atuona,PF,-9.80,-139.03,76.80,74,27,21.34,scattered clouds
49,Castro,BR,-24.79,-50.01,62.53,87,100,3.09,overcast clouds
50,Razdolnoye,RU,43.55,131.92,36.01,60,3,2.19,clear sky
51,Ahipara,NZ,-35.17,173.17,55.26,95,95,6.46,overcast clouds
52,Hami,CN,42.80,93.45,73.81,16,22,6.80,few clouds
53,Naze,JP,28.37,129.48,72.52,74,24,11.77,few clouds
54,Viedma,AR,-40.81,-63.00,48.70,56,65,23.55,broken clouds
55,Sfantu Gheorghe,RO,45.87,25.78,55.92,61,73,11.14,broken clouds
56,Arti,RU,56.42,58.53,64.69,51,100,5.46,overcast clouds
57,Manta,EC,-0.95,-80.73,73.18,83,75,9.22,broken clouds
58,Ostrovnoy,RU,68.05,39.51,46.24,98,100,22.59,light rain
59,Olden,NO,61.84,6.81,58.12,45,7,2.89,clear sky
60,Chokurdakh,RU,70.63,147.92,32.34,80,100,15.39,light snow
61,Cape Town,ZA,-33.93,18.42,69.12,42,0,11.50,clear sky
62,Tambo,PE,-14.80,-73.92,47.55,20,16,2.30,few clouds
63,Ushuaia,AR,-54.80,-68.30,49.66,25,0,10.36,clear sky
64,Bredasdorp,ZA,-34.53,20.04,65.41,50,2,14.92,clear sky
65,Coquimbo,CL,-29.95,-71.34,56.93,62,75,3.44,broken clouds
66,Saint George,US,37.10,-113.58,66.79,48,0,4.61,clear sky
67,Gazli,UZ,40.13,63.45,86.47,13,0,6.76,clear sky
68,Victoria,HK,22.29,114.16,85.32,83,50,11.99,scattered clouds
69,Bathsheba,BB,13.22,-59.52,88.41,74,20,20.71,few clouds
70,Jamestown,US,42.10,-79.24,66.02,71,75,11.50,broken clouds
71,Ponta Do Sol,PT,32.67,-17.10,80.01,92,58,5.79,light rain
72,Port Hardy,CA,50.70,-127.42,50.00,100,20,4.61,few clouds
73,Pacific Grove,US,36.62,-121.92,56.66,92,0,6.91,clear sky
74,Memaliaj,AL,40.35,19.98,77.27,33,46,10.94,scattered clouds
75,Severo-Kurilsk,RU,50.68,156.12,49.03,76,72,19.13,broken clouds
76,Ustyuzhna,RU,58.84,36.43,48.79,92,100,13.71,overcast clouds
77,San Patricio,US,28.02,-97.52,85.95,69,1,5.21,clear sky
78,Nikolskoye,RU,59.70,30.79,55.29,84,100,3.33,overcast clouds
79,Savinka,RU,50.08,47.10,71.40,58,65,12.66,broken clouds
80,Georgetown,MY,5.41,100.34,84.88,79,20,0.00,light rain
81,Soyo,AO,-6.13,12.37,77.72,73,42,11.03,scattered clouds
82,Tual,ID,-5.67,132.75,82.47,79,100,11.23,overcast clouds
83,Pareora,NZ,-44.49,171.21,52.18,86,28,3.56,scattered clouds
84,Vicuna,CL,-30.03,-70.71,53.76,62,12,5.50,few clouds
85,Vaini,TO,-21.20,-175.20,71.76,94,100,13.80,overcast clouds
86,Yinchuan,CN,38.47,106.27,63.64,34,0,6.71,clear sky
87,La Trinidad,PH,16.45,120.59,62.38,92,63,1.97,broken clouds
88,Constitucion,CL,-35.33,-72.42,51.57,60,6,5.48,clear sky
89,Muzhi,RU,65.37,64.67,53.64,98,100,7.87,overcast clouds
90,Pochutla,MX,15.74,-96.47,75.02,89,100,2.01,overcast clouds
91,Kruisfontein,ZA,-34.00,24.73,64.89,54,0,9.40,clear sky
92,Hithadhoo,MV,-0.60,73.08,82.31,70,44,5.75,scattered clouds
93,Barrow,US,71.29,-156.79,28.42,100,0,8.05,clear sky
